book_name,author,price
처음 배우는 매트랩,방성완,30000
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀,34000
정보교과교육론(3판),"최현종 , 전용주",30000
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관,22000
경제수학 강의(3판),김성현,23000
글로벌 사회와 리더십(2판),안광현,28000
행동 재무론,고광수,32000
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석 , 김지연",24000
MATLAB으로 배우는 공학 수치해석(3판),방성완,28000
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar",34000
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar",34000
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석,30000
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli , Peter C. Bruce , Peter Gedeck , Nitin R. Patel",39000
현대경영과학(9판),김세헌,35000
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일 , 홍성혁",32000
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호,32000
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남 , 박길식",34000
"STEM CookBook, 전기 및 하이브리드 자동차(3판)",Iqbal Husain,35000
"IT CookBook, 컴퓨터 비전과 딥러닝",오일석,39000
리더십 : 이론과 실제 (9판),Peter G. Northouse,36000
"IT CookBook, JAVA 마스터",송미영,30000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍(2판)",최성철,30000
"IT CookBook, 생활 속 예제로 배우는 생생 데이터 분석",조인석,23000
"IT CookBook, 파워포인트 2019",김지연,20000
메타버스로 구현하는 나만의 세상,"한규정 , 최종원 , 강신조 , 심민정 , 안형준 , 위새람 , 최동일",23000
국제경영학 : 환경과 운영 (17판),"John D. Daniels , Lee H. Radebaugh , Daniel P. Sullivan , Reid W. Click",41000
머신러닝을 위한 수학,이병준,28000
위상수학 첫걸음,Fred H. Croom,29000
"IT CookBook, 전자기학 : ELECTROMAGNETICS (2판)","Arlon T. Adams , Jay Kyoon Lee(이재균) , Jay Kyoon Lee  - 감수",35000
반도체 특강 : 소자편,진종문,28000
"IT CookBook, 처음 만나는 자동제어공학(2판)",김성중,23000
누구나 R 데이터 분석,이윤환,27000
"STEM CookBook, 정수론 첫걸음",Kuldeep Singh,33000
"IT CookBook, C# 프로그래밍 for Beginner",우재남,27000
R과 jamovi를 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀,32000
글로벌 시장환경과 국제경영,"이장로 , 신만수 , 김창수",40000
미래 세상의 모빌리티,"임덕신 , 임현준",23000
"IT CookBook, 처음 만나는 전력공학(2판)","박숭규 , 최은혁 , 최병숙",27000
경영경제 통계학 4판 : Excel과 R의 실전적 활용,"Sanjiv Jaggia , Alison Kelly",38000
4차 산업혁명 시대의 국제마케팅(8판),"이장로 , 문희철 , 이춘수",29000
스마트 물류 비즈니스를 위한 글로벌 공급사슬관리(2판),"김종락 , 김시영 , 신건철",29000
신제품 개발 관리,김종배,29000
광고론(2판),김종배,34000
"전략경영 : 개념과 사례, 경쟁우위 접근법 (제17판)","Fred R. David , Forest R. David , Meredith E. David",39000
"STEM CookBook, 문제 해결력을 키우는 기계설계",이상범,34000
경영분석(6판),"장영광 , 송치승",36000
"IT CookBook, 기초부터 시작하는 PLC : OMRON NX","정완보 , 이진호",32000
"IT CookBook, 원리로 이해하는 전력전자공학(2판)","원충연 , 김영렬 , 이택기 , 류홍제 , 故정용채",30000
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",김선우,32000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",박기현,30000
"IT CookBook, 우분투 리눅스(3판)",이종원,34000
거시경제학(3판),주상영,36000
실용적 접근 방식의 경영학원론(10판),"Angelo Kinicki , Denise Breaux Soignet",39000
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)","문호석, 손명호",23000
"IT CookBook, 인터넷 해킹과 보안(4판)",김경곤,29000
"IT CookBook, 파이썬 데이터 분석 for Beginner",우재남,28000
"Strategic Management, 17th Edition","Fred R. David , Forest R. David , Meredith E. David",79000
"IT CookBook, 엑셀 2019",김지연,20000
"IT CookBook, 소프트웨어 공학 이론과 실제",홍장의,33000
공학도라면 반드시 알아야 할 최소한의 수학(8판),John Bird,25000
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",이영주,30000
"STEM CookBook, 공학 기초수학(2판)",함남우,22000
"STEM CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer , E. Russell Johnston, Jr. , John T. DeWolf , David F. Mazurek",39000
STEIN 푸리에 해석학,"ELIAS M. STEIN , RAMI SHAKARCHI",38000
미분적분학 : 기초부터 응용까지,수학교재편찬위원회,35000
인공지능 시대의 문화기술,"두일철 , 오세종",22000
재무회계 with IFRS,"Jerry Weygandt , Paul Kimmel , Don Kieso",44000
상법강의,서성호,45000
소비자 행동론 제 13판,Michael R. Solomon,39000
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,25000
STEIN 복소해석학,"ELIAS M. STEIN , RAMI SHAKARCHI",36000
